"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2023 februari";"Almelo";"     307"
"Totaal misdrijven";"2023 maart";"Almelo";"     357"
"Totaal misdrijven";"2023 april";"Almelo";"     324"
"Totaal misdrijven";"2023 mei";"Almelo";"     391"
"Totaal misdrijven";"2023 juni";"Almelo";"     322"
"Totaal misdrijven";"2023 juli";"Almelo";"     332"
"Totaal misdrijven";"2023 augustus";"Almelo";"     288"
"Totaal misdrijven";"2022 september";"Almere";"     803"
"Totaal misdrijven";"2022 oktober";"Almere";"     790"
"Totaal misdrijven";"2022 november";"Almere";"     702"
"Totaal misdrijven";"2022 december";"Almere";"     732"
"Totaal misdrijven";"2023 januari";"Almere";"     823"
"Totaal misdrijven";"2023 februari";"Almere";"     678"
"Totaal misdrijven";"2023 maart";"Almere";"     687"
"Totaal misdrijven";"2023 april";"Almere";"     693"
"Totaal misdrijven";"2023 mei";"Almere";"     720"
"Totaal misdrijven";"2023 juni";"Almere";"     838"
"Totaal misdrijven";"2023 juli";"Almere";"     864"
"Totaal misdrijven";"2023 augustus";"Almere";"     792"
"Totaal misdrijven";"2022 september";"Alphen aan den Rijn";"     342"
"Totaal misdrijven";"2022 oktober";"Alphen aan den Rijn";"     428"
"Totaal misdrijven";"2022 november";"Alphen aan den Rijn";"     367"
"Totaal misdrijven";"2022 december";"Alphen aan den Rijn";"     337"
"Totaal misdrijven";"2023 januari";"Alphen aan den Rijn";"     351"
"Totaal misdrijven";"2023 februari";"Alphen aan den Rijn";"     333"
"Totaal misdrijven";"2023 maart";"Alphen aan den Rijn";"     321"
"Totaal misdrijven";"2023 april";"Alphen aan den Rijn";"     336"
"Totaal misdrijven";"2023 mei";"Alphen aan den Rijn";"     271"
"Totaal misdrijven";"2023 juni";"Alphen aan den Rijn";"     350"
"Totaal misdrijven";"2023 juli";"Alphen aan den Rijn";"     276"
"Totaal misdrijven";"2023 augustus";"Alphen aan den Rijn";"     317"
"Totaal misdrijven";"2022 september";"Alphen-Chaam";"      19"
"Totaal misdrijven";"2022 oktober";"Alphen-Chaam";"      25"
"Totaal misdrijven";"2022 november";"Alphen-Chaam";"      24"
