"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2023 juni";"Eindhoven";"    1635"
"Totaal misdrijven";"2023 juli";"Eindhoven";"    1449"
"Totaal misdrijven";"2023 augustus";"Eindhoven";"    1483"
"Totaal misdrijven";"2022 september";"Elburg";"      68"
"Totaal misdrijven";"2022 oktober";"Elburg";"      49"
"Totaal misdrijven";"2022 november";"Elburg";"      39"
"Totaal misdrijven";"2022 december";"Elburg";"      70"
"Totaal misdrijven";"2023 januari";"Elburg";"      72"
"Totaal misdrijven";"2023 februari";"Elburg";"      42"
"Totaal misdrijven";"2023 maart";"Elburg";"      44"
"Totaal misdrijven";"2023 april";"Elburg";"      31"
"Totaal misdrijven";"2023 mei";"Elburg";"      38"
"Totaal misdrijven";"2023 juni";"Elburg";"      61"
"Totaal misdrijven";"2023 juli";"Elburg";"      53"
"Totaal misdrijven";"2023 augustus";"Elburg";"      51"
"Totaal misdrijven";"2022 september";"Emmen";"     347"
"Totaal misdrijven";"2022 oktober";"Emmen";"     445"
"Totaal misdrijven";"2022 november";"Emmen";"     382"
"Totaal misdrijven";"2022 december";"Emmen";"     377"
"Totaal misdrijven";"2023 januari";"Emmen";"     412"
"Totaal misdrijven";"2023 februari";"Emmen";"     319"
"Totaal misdrijven";"2023 maart";"Emmen";"     373"
"Totaal misdrijven";"2023 april";"Emmen";"     355"
"Totaal misdrijven";"2023 mei";"Emmen";"     364"
"Totaal misdrijven";"2023 juni";"Emmen";"     373"
"Totaal misdrijven";"2023 juli";"Emmen";"     324"
"Totaal misdrijven";"2023 augustus";"Emmen";"     298"
"Totaal misdrijven";"2022 september";"Enkhuizen";"      65"
"Totaal misdrijven";"2022 oktober";"Enkhuizen";"      76"
"Totaal misdrijven";"2022 november";"Enkhuizen";"      72"
"Totaal misdrijven";"2022 december";"Enkhuizen";"      69"
"Totaal misdrijven";"2023 januari";"Enkhuizen";"      86"
"Totaal misdrijven";"2023 februari";"Enkhuizen";"      83"
"Totaal misdrijven";"2023 maart";"Enkhuizen";"      58"
"Totaal misdrijven";"2023 april";"Enkhuizen";"      59"
"Totaal misdrijven";"2023 mei";"Enkhuizen";"      37"
"Totaal misdrijven";"2023 juni";"Enkhuizen";"      50"
"Totaal misdrijven";"2023 juli";"Enkhuizen";"      49"
"Totaal misdrijven";"2023 augustus";"Enkhuizen";"      52"
"Totaal misdrijven";"2022 september";"Enschede";"     787"
"Totaal misdrijven";"2022 oktober";"Enschede";"     906"
"Totaal misdrijven";"2022 november";"Enschede";"     862"
"Totaal misdrijven";"2022 december";"Enschede";"     740"
"Totaal misdrijven";"2023 januari";"Enschede";"     740"
"Totaal misdrijven";"2023 februari";"Enschede";"     748"
"Totaal misdrijven";"2023 maart";"Enschede";"     778"
"Totaal misdrijven";"2023 april";"Enschede";"     716"
"Totaal misdrijven";"2023 mei";"Enschede";"     789"
"Totaal misdrijven";"2023 juni";"Enschede";"     807"
"Totaal misdrijven";"2023 juli";"Enschede";"     839"
"Totaal misdrijven";"2023 augustus";"Enschede";"     704"
"Totaal misdrijven";"2022 september";"Epe";"      75"
"Totaal misdrijven";"2022 oktober";"Epe";"      83"
"Totaal misdrijven";"2022 november";"Epe";"      82"
"Totaal misdrijven";"2022 december";"Epe";"      76"
"Totaal misdrijven";"2023 januari";"Epe";"      52"
"Totaal misdrijven";"2023 februari";"Epe";"      70"
"Totaal misdrijven";"2023 maart";"Epe";"      92"
"Totaal misdrijven";"2023 april";"Epe";"      93"
"Totaal misdrijven";"2023 mei";"Epe";"      83"
"Totaal misdrijven";"2023 juni";"Epe";"      70"
"Totaal misdrijven";"2023 juli";"Epe";"      89"
"Totaal misdrijven";"2023 augustus";"Epe";"      77"
"Totaal misdrijven";"2022 september";"Ermelo";"      69"
"Totaal misdrijven";"2022 oktober";"Ermelo";"      91"
"Totaal misdrijven";"2022 november";"Ermelo";"      85"
"Totaal misdrijven";"2022 december";"Ermelo";"      77"
"Totaal misdrijven";"2023 januari";"Ermelo";"      69"
"Totaal misdrijven";"2023 februari";"Ermelo";"      60"
"Totaal misdrijven";"2023 maart";"Ermelo";"      54"
"Totaal misdrijven";"2023 april";"Ermelo";"      62"
"Totaal misdrijven";"2023 mei";"Ermelo";"      57"
"Totaal misdrijven";"2023 juni";"Ermelo";"      61"
"Totaal misdrijven";"2023 juli";"Ermelo";"      88"
"Totaal misdrijven";"2023 augustus";"Ermelo";"      67"
"Totaal misdrijven";"2022 september";"Etten-Leur";"     105"
"Totaal misdrijven";"2022 oktober";"Etten-Leur";"     163"
"Totaal misdrijven";"2022 november";"Etten-Leur";"     152"
"Totaal misdrijven";"2022 december";"Etten-Leur";"     154"
"Totaal misdrijven";"2023 januari";"Etten-Leur";"     215"
"Totaal misdrijven";"2023 februari";"Etten-Leur";"     172"
"Totaal misdrijven";"2023 maart";"Etten-Leur";"     158"
"Totaal misdrijven";"2023 april";"Etten-Leur";"     121"
"Totaal misdrijven";"2023 mei";"Etten-Leur";"     125"
"Totaal misdrijven";"2023 juni";"Etten-Leur";"     109"
"Totaal misdrijven";"2023 juli";"Etten-Leur";"     152"
"Totaal misdrijven";"2023 augustus";"Etten-Leur";"     127"
"Totaal misdrijven";"2022 september";"De Fryske Marren";"      96"
"Totaal misdrijven";"2022 oktober";"De Fryske Marren";"     103"
"Totaal misdrijven";"2022 november";"De Fryske Marren";"      92"
"Totaal misdrijven";"2022 december";"De Fryske Marren";"      97"
"Totaal misdrijven";"2023 januari";"De Fryske Marren";"     117"
"Totaal misdrijven";"2023 februari";"De Fryske Marren";"      98"
"Totaal misdrijven";"2023 maart";"De Fryske Marren";"      81"
"Totaal misdrijven";"2023 april";"De Fryske Marren";"      70"
"Totaal misdrijven";"2023 mei";"De Fryske Marren";"      98"
"Totaal misdrijven";"2023 juni";"De Fryske Marren";"     109"
"Totaal misdrijven";"2023 juli";"De Fryske Marren";"      77"
"Totaal misdrijven";"2023 augustus";"De Fryske Marren";"      98"
"Totaal misdrijven";"2022 september";"Geertruidenberg";"      62"
"Totaal misdrijven";"2022 oktober";"Geertruidenberg";"      81"
"Totaal misdrijven";"2022 november";"Geertruidenberg";"      68"
"Totaal misdrijven";"2022 december";"Geertruidenberg";"      65"
"Totaal misdrijven";"2023 januari";"Geertruidenberg";"      83"
"Totaal misdrijven";"2023 februari";"Geertruidenberg";"      49"
"Totaal misdrijven";"2023 maart";"Geertruidenberg";"      68"
"Totaal misdrijven";"2023 april";"Geertruidenberg";"      58"
"Totaal misdrijven";"2023 mei";"Geertruidenberg";"      69"
"Totaal misdrijven";"2023 juni";"Geertruidenberg";"      55"
"Totaal misdrijven";"2023 juli";"Geertruidenberg";"      53"
"Totaal misdrijven";"2023 augustus";"Geertruidenberg";"      61"
"Totaal misdrijven";"2022 september";"Geldrop-Mierlo";"     142"
"Totaal misdrijven";"2022 oktober";"Geldrop-Mierlo";"     119"
"Totaal misdrijven";"2022 november";"Geldrop-Mierlo";"     130"
"Totaal misdrijven";"2022 december";"Geldrop-Mierlo";"     112"
"Totaal misdrijven";"2023 januari";"Geldrop-Mierlo";"     100"
"Totaal misdrijven";"2023 februari";"Geldrop-Mierlo";"     103"
"Totaal misdrijven";"2023 maart";"Geldrop-Mierlo";"     125"
"Totaal misdrijven";"2023 april";"Geldrop-Mierlo";"     140"
"Totaal misdrijven";"2023 mei";"Geldrop-Mierlo";"     124"
"Totaal misdrijven";"2023 juni";"Geldrop-Mierlo";"     122"
"Totaal misdrijven";"2023 juli";"Geldrop-Mierlo";"     134"
"Totaal misdrijven";"2023 augustus";"Geldrop-Mierlo";"     101"
"Totaal misdrijven";"2022 september";"Gemert-Bakel";"      91"
"Totaal misdrijven";"2022 oktober";"Gemert-Bakel";"      81"
"Totaal misdrijven";"2022 november";"Gemert-Bakel";"     100"
"Totaal misdrijven";"2022 december";"Gemert-Bakel";"      84"
"Totaal misdrijven";"2023 januari";"Gemert-Bakel";"      90"
"Totaal misdrijven";"2023 februari";"Gemert-Bakel";"      86"
"Totaal misdrijven";"2023 maart";"Gemert-Bakel";"      72"
"Totaal misdrijven";"2023 april";"Gemert-Bakel";"      79"
"Totaal misdrijven";"2023 mei";"Gemert-Bakel";"      85"
"Totaal misdrijven";"2023 juni";"Gemert-Bakel";"      85"
"Totaal misdrijven";"2023 juli";"Gemert-Bakel";"      67"
"Totaal misdrijven";"2023 augustus";"Gemert-Bakel";"      75"
"Totaal misdrijven";"2022 september";"Gennep";"      49"
"Totaal misdrijven";"2022 oktober";"Gennep";"      58"
"Totaal misdrijven";"2022 november";"Gennep";"      41"
"Totaal misdrijven";"2022 december";"Gennep";"      50"
"Totaal misdrijven";"2023 januari";"Gennep";"      53"
"Totaal misdrijven";"2023 februari";"Gennep";"      57"
"Totaal misdrijven";"2023 maart";"Gennep";"      51"
"Totaal misdrijven";"2023 april";"Gennep";"      42"
"Totaal misdrijven";"2023 mei";"Gennep";"      35"
"Totaal misdrijven";"2023 juni";"Gennep";"      37"
"Totaal misdrijven";"2023 juli";"Gennep";"      57"
"Totaal misdrijven";"2023 augustus";"Gennep";"      49"
"Totaal misdrijven";"2022 september";"Gilze en Rijen";"      86"
"Totaal misdrijven";"2022 oktober";"Gilze en Rijen";"     102"
"Totaal misdrijven";"2022 november";"Gilze en Rijen";"     115"
"Totaal misdrijven";"2022 december";"Gilze en Rijen";"      89"
"Totaal misdrijven";"2023 januari";"Gilze en Rijen";"     115"
"Totaal misdrijven";"2023 februari";"Gilze en Rijen";"      99"
"Totaal misdrijven";"2023 maart";"Gilze en Rijen";"      87"
"Totaal misdrijven";"2023 april";"Gilze en Rijen";"      79"
"Totaal misdrijven";"2023 mei";"Gilze en Rijen";"      81"
"Totaal misdrijven";"2023 juni";"Gilze en Rijen";"      85"
"Totaal misdrijven";"2023 juli";"Gilze en Rijen";"      78"
"Totaal misdrijven";"2023 augustus";"Gilze en Rijen";"      73"
"Totaal misdrijven";"2022 september";"Goeree-Overflakkee";"     164"
"Totaal misdrijven";"2022 oktober";"Goeree-Overflakkee";"     133"
"Totaal misdrijven";"2022 november";"Goeree-Overflakkee";"     117"
"Totaal misdrijven";"2022 december";"Goeree-Overflakkee";"     113"
"Totaal misdrijven";"2023 januari";"Goeree-Overflakkee";"     140"
"Totaal misdrijven";"2023 februari";"Goeree-Overflakkee";"     109"
"Totaal misdrijven";"2023 maart";"Goeree-Overflakkee";"     112"
"Totaal misdrijven";"2023 april";"Goeree-Overflakkee";"     117"
"Totaal misdrijven";"2023 mei";"Goeree-Overflakkee";"     102"
"Totaal misdrijven";"2023 juni";"Goeree-Overflakkee";"     116"
"Totaal misdrijven";"2023 juli";"Goeree-Overflakkee";"     100"
"Totaal misdrijven";"2023 augustus";"Goeree-Overflakkee";"     110"
"Totaal misdrijven";"2022 september";"Goes";"     142"
"Totaal misdrijven";"2022 oktober";"Goes";"     196"
"Totaal misdrijven";"2022 november";"Goes";"     183"
"Totaal misdrijven";"2022 december";"Goes";"     123"
"Totaal misdrijven";"2023 januari";"Goes";"     157"
"Totaal misdrijven";"2023 februari";"Goes";"     141"
"Totaal misdrijven";"2023 maart";"Goes";"     141"
"Totaal misdrijven";"2023 april";"Goes";"     136"
"Totaal misdrijven";"2023 mei";"Goes";"     152"
"Totaal misdrijven";"2023 juni";"Goes";"     136"
"Totaal misdrijven";"2023 juli";"Goes";"     133"
"Totaal misdrijven";"2023 augustus";"Goes";"     149"
"Totaal misdrijven";"2022 september";"Goirle";"      49"
"Totaal misdrijven";"2022 oktober";"Goirle";"      58"
"Totaal misdrijven";"2022 november";"Goirle";"      72"
"Totaal misdrijven";"2022 december";"Goirle";"      75"
"Totaal misdrijven";"2023 januari";"Goirle";"      85"
"Totaal misdrijven";"2023 februari";"Goirle";"      67"
"Totaal misdrijven";"2023 maart";"Goirle";"      68"
"Totaal misdrijven";"2023 april";"Goirle";"      64"
"Totaal misdrijven";"2023 mei";"Goirle";"      54"
"Totaal misdrijven";"2023 juni";"Goirle";"     100"
"Totaal misdrijven";"2023 juli";"Goirle";"      40"
"Totaal misdrijven";"2023 augustus";"Goirle";"      62"
"Totaal misdrijven";"2022 september";"Gooise Meren";"     190"
"Totaal misdrijven";"2022 oktober";"Gooise Meren";"     252"
"Totaal misdrijven";"2022 november";"Gooise Meren";"     194"
"Totaal misdrijven";"2022 december";"Gooise Meren";"     222"
"Totaal misdrijven";"2023 januari";"Gooise Meren";"     212"
"Totaal misdrijven";"2023 februari";"Gooise Meren";"     239"
"Totaal misdrijven";"2023 maart";"Gooise Meren";"     215"
"Totaal misdrijven";"2023 april";"Gooise Meren";"     205"
"Totaal misdrijven";"2023 mei";"Gooise Meren";"     215"
"Totaal misdrijven";"2023 juni";"Gooise Meren";"     280"
"Totaal misdrijven";"2023 juli";"Gooise Meren";"     209"
"Totaal misdrijven";"2023 augustus";"Gooise Meren";"     183"
"Totaal misdrijven";"2022 september";"Gorinchem";"     138"
"Totaal misdrijven";"2022 oktober";"Gorinchem";"     112"
"Totaal misdrijven";"2022 november";"Gorinchem";"     116"
"Totaal misdrijven";"2022 december";"Gorinchem";"     150"
"Totaal misdrijven";"2023 januari";"Gorinchem";"     147"
"Totaal misdrijven";"2023 februari";"Gorinchem";"     123"
"Totaal misdrijven";"2023 maart";"Gorinchem";"     126"
"Totaal misdrijven";"2023 april";"Gorinchem";"     118"
"Totaal misdrijven";"2023 mei";"Gorinchem";"     122"
"Totaal misdrijven";"2023 juni";"Gorinchem";"     108"
"Totaal misdrijven";"2023 juli";"Gorinchem";"     122"
"Totaal misdrijven";"2023 augustus";"Gorinchem";"     125"
"Totaal misdrijven";"2022 september";"Gouda";"     282"
"Totaal misdrijven";"2022 oktober";"Gouda";"     324"
"Totaal misdrijven";"2022 november";"Gouda";"     346"
"Totaal misdrijven";"2022 december";"Gouda";"     327"
"Totaal misdrijven";"2023 januari";"Gouda";"     297"
"Totaal misdrijven";"2023 februari";"Gouda";"     322"
"Totaal misdrijven";"2023 maart";"Gouda";"     318"
"Totaal misdrijven";"2023 april";"Gouda";"     320"
"Totaal misdrijven";"2023 mei";"Gouda";"     326"
"Totaal misdrijven";"2023 juni";"Gouda";"     331"
"Totaal misdrijven";"2023 juli";"Gouda";"     302"
"Totaal misdrijven";"2023 augustus";"Gouda";"     307"
"Totaal misdrijven";"2022 september";"'s-Gravenhage (gemeente)";"    3076"
"Totaal misdrijven";"2022 oktober";"'s-Gravenhage (gemeente)";"    3181"
"Totaal misdrijven";"2022 november";"'s-Gravenhage (gemeente)";"    3203"
"Totaal misdrijven";"2022 december";"'s-Gravenhage (gemeente)";"    2955"
"Totaal misdrijven";"2023 januari";"'s-Gravenhage (gemeente)";"    3070"
"Totaal misdrijven";"2023 februari";"'s-Gravenhage (gemeente)";"    2812"
"Totaal misdrijven";"2023 maart";"'s-Gravenhage (gemeente)";"    3065"
"Totaal misdrijven";"2023 april";"'s-Gravenhage (gemeente)";"    2889"
"Totaal misdrijven";"2023 mei";"'s-Gravenhage (gemeente)";"    3191"
"Totaal misdrijven";"2023 juni";"'s-Gravenhage (gemeente)";"    3310"
"Totaal misdrijven";"2023 juli";"'s-Gravenhage (gemeente)";"    3383"
"Totaal misdrijven";"2023 augustus";"'s-Gravenhage (gemeente)";"    3193"
"Totaal misdrijven";"2022 september";"Groningen (gemeente)";"    1246"
"Totaal misdrijven";"2022 oktober";"Groningen (gemeente)";"    1290"
"Totaal misdrijven";"2022 november";"Groningen (gemeente)";"    1215"
"Totaal misdrijven";"2022 december";"Groningen (gemeente)";"    1192"
"Totaal misdrijven";"2023 januari";"Groningen (gemeente)";"    1215"
"Totaal misdrijven";"2023 februari";"Groningen (gemeente)";"    1101"
"Totaal misdrijven";"2023 maart";"Groningen (gemeente)";"    1375"
"Totaal misdrijven";"2023 april";"Groningen (gemeente)";"    1279"
"Totaal misdrijven";"2023 mei";"Groningen (gemeente)";"    1415"
"Totaal misdrijven";"2023 juni";"Groningen (gemeente)";"    1230"
"Totaal misdrijven";"2023 juli";"Groningen (gemeente)";"    1240"
"Totaal misdrijven";"2023 augustus";"Groningen (gemeente)";"    1282"
"Totaal misdrijven";"2022 september";"Gulpen-Wittem";"      30"
"Totaal misdrijven";"2022 oktober";"Gulpen-Wittem";"      48"
"Totaal misdrijven";"2022 november";"Gulpen-Wittem";"      40"
"Totaal misdrijven";"2022 december";"Gulpen-Wittem";"      18"
"Totaal misdrijven";"2023 januari";"Gulpen-Wittem";"      38"
"Totaal misdrijven";"2023 februari";"Gulpen-Wittem";"      20"
"Totaal misdrijven";"2023 maart";"Gulpen-Wittem";"      30"
"Totaal misdrijven";"2023 april";"Gulpen-Wittem";"      23"
"Totaal misdrijven";"2023 mei";"Gulpen-Wittem";"      41"
"Totaal misdrijven";"2023 juni";"Gulpen-Wittem";"      47"
"Totaal misdrijven";"2023 juli";"Gulpen-Wittem";"      35"
"Totaal misdrijven";"2023 augustus";"Gulpen-Wittem";"      39"
"Totaal misdrijven";"2022 september";"Haaksbergen";"      40"
"Totaal misdrijven";"2022 oktober";"Haaksbergen";"      50"
"Totaal misdrijven";"2022 november";"Haaksbergen";"      48"
"Totaal misdrijven";"2022 december";"Haaksbergen";"      33"
"Totaal misdrijven";"2023 januari";"Haaksbergen";"      39"
"Totaal misdrijven";"2023 februari";"Haaksbergen";"      39"
"Totaal misdrijven";"2023 maart";"Haaksbergen";"      39"
"Totaal misdrijven";"2023 april";"Haaksbergen";"      45"
"Totaal misdrijven";"2023 mei";"Haaksbergen";"      51"
"Totaal misdrijven";"2023 juni";"Haaksbergen";"      53"
"Totaal misdrijven";"2023 juli";"Haaksbergen";"      43"
"Totaal misdrijven";"2023 augustus";"Haaksbergen";"      52"
"Totaal misdrijven";"2022 september";"Haarlem";"     753"
"Totaal misdrijven";"2022 oktober";"Haarlem";"     901"
"Totaal misdrijven";"2022 november";"Haarlem";"     859"
"Totaal misdrijven";"2022 december";"Haarlem";"     889"
"Totaal misdrijven";"2023 januari";"Haarlem";"     818"
"Totaal misdrijven";"2023 februari";"Haarlem";"     826"
"Totaal misdrijven";"2023 maart";"Haarlem";"     812"
"Totaal misdrijven";"2023 april";"Haarlem";"     854"
"Totaal misdrijven";"2023 mei";"Haarlem";"     873"
"Totaal misdrijven";"2023 juni";"Haarlem";"     797"
"Totaal misdrijven";"2023 juli";"Haarlem";"     918"
"Totaal misdrijven";"2023 augustus";"Haarlem";"     763"
"Totaal misdrijven";"2022 september";"Haarlemmermeer";"     613"
"Totaal misdrijven";"2022 oktober";"Haarlemmermeer";"     734"
"Totaal misdrijven";"2022 november";"Haarlemmermeer";"     625"
"Totaal misdrijven";"2022 december";"Haarlemmermeer";"     481"
"Totaal misdrijven";"2023 januari";"Haarlemmermeer";"     636"
"Totaal misdrijven";"2023 februari";"Haarlemmermeer";"     510"
"Totaal misdrijven";"2023 maart";"Haarlemmermeer";"     539"
"Totaal misdrijven";"2023 april";"Haarlemmermeer";"     530"
"Totaal misdrijven";"2023 mei";"Haarlemmermeer";"     598"
"Totaal misdrijven";"2023 juni";"Haarlemmermeer";"     556"
"Totaal misdrijven";"2023 juli";"Haarlemmermeer";"     583"
"Totaal misdrijven";"2023 augustus";"Haarlemmermeer";"     546"
"Totaal misdrijven";"2022 september";"Halderberge";"      83"
"Totaal misdrijven";"2022 oktober";"Halderberge";"     105"
"Totaal misdrijven";"2022 november";"Halderberge";"      77"
"Totaal misdrijven";"2022 december";"Halderberge";"     107"
"Totaal misdrijven";"2023 januari";"Halderberge";"      83"
"Totaal misdrijven";"2023 februari";"Halderberge";"      79"
"Totaal misdrijven";"2023 maart";"Halderberge";"      85"
"Totaal misdrijven";"2023 april";"Halderberge";"      97"
"Totaal misdrijven";"2023 mei";"Halderberge";"     116"
"Totaal misdrijven";"2023 juni";"Halderberge";"      89"
"Totaal misdrijven";"2023 juli";"Halderberge";"     114"
"Totaal misdrijven";"2023 augustus";"Halderberge";"      70"
"Totaal misdrijven";"2022 september";"Hardenberg";"     146"
"Totaal misdrijven";"2022 oktober";"Hardenberg";"     119"
"Totaal misdrijven";"2022 november";"Hardenberg";"     153"
"Totaal misdrijven";"2022 december";"Hardenberg";"     161"
"Totaal misdrijven";"2023 januari";"Hardenberg";"     155"
"Totaal misdrijven";"2023 februari";"Hardenberg";"     118"
"Totaal misdrijven";"2023 maart";"Hardenberg";"     137"
"Totaal misdrijven";"2023 april";"Hardenberg";"     115"
"Totaal misdrijven";"2023 mei";"Hardenberg";"      98"
"Totaal misdrijven";"2023 juni";"Hardenberg";"     141"
"Totaal misdrijven";"2023 juli";"Hardenberg";"     123"
"Totaal misdrijven";"2023 augustus";"Hardenberg";"     125"
"Totaal misdrijven";"2022 september";"Harderwijk";"     137"
"Totaal misdrijven";"2022 oktober";"Harderwijk";"     158"
"Totaal misdrijven";"2022 november";"Harderwijk";"     134"
"Totaal misdrijven";"2022 december";"Harderwijk";"     141"
"Totaal misdrijven";"2023 januari";"Harderwijk";"     159"
"Totaal misdrijven";"2023 februari";"Harderwijk";"     134"
"Totaal misdrijven";"2023 maart";"Harderwijk";"     148"
"Totaal misdrijven";"2023 april";"Harderwijk";"     175"
"Totaal misdrijven";"2023 mei";"Harderwijk";"     189"
"Totaal misdrijven";"2023 juni";"Harderwijk";"     181"
"Totaal misdrijven";"2023 juli";"Harderwijk";"     182"
"Totaal misdrijven";"2023 augustus";"Harderwijk";"     174"
"Totaal misdrijven";"2022 september";"Hardinxveld-Giessendam";"      30"
"Totaal misdrijven";"2022 oktober";"Hardinxveld-Giessendam";"      39"
"Totaal misdrijven";"2022 november";"Hardinxveld-Giessendam";"      37"
"Totaal misdrijven";"2022 december";"Hardinxveld-Giessendam";"      32"
"Totaal misdrijven";"2023 januari";"Hardinxveld-Giessendam";"      31"
"Totaal misdrijven";"2023 februari";"Hardinxveld-Giessendam";"      24"
"Totaal misdrijven";"2023 maart";"Hardinxveld-Giessendam";"      37"
"Totaal misdrijven";"2023 april";"Hardinxveld-Giessendam";"      28"
"Totaal misdrijven";"2023 mei";"Hardinxveld-Giessendam";"      36"
"Totaal misdrijven";"2023 juni";"Hardinxveld-Giessendam";"      43"
"Totaal misdrijven";"2023 juli";"Hardinxveld-Giessendam";"      28"
"Totaal misdrijven";"2023 augustus";"Hardinxveld-Giessendam";"      26"
"Totaal misdrijven";"2022 september";"Harlingen";"      52"
"Totaal misdrijven";"2022 oktober";"Harlingen";"      56"
"Totaal misdrijven";"2022 november";"Harlingen";"      62"
"Totaal misdrijven";"2022 december";"Harlingen";"      51"
"Totaal misdrijven";"2023 januari";"Harlingen";"      36"
"Totaal misdrijven";"2023 februari";"Harlingen";"      53"
"Totaal misdrijven";"2023 maart";"Harlingen";"      45"
"Totaal misdrijven";"2023 april";"Harlingen";"      45"
"Totaal misdrijven";"2023 mei";"Harlingen";"      47"
"Totaal misdrijven";"2023 juni";"Harlingen";"      38"
"Totaal misdrijven";"2023 juli";"Harlingen";"      37"
"Totaal misdrijven";"2023 augustus";"Harlingen";"      36"
"Totaal misdrijven";"2022 september";"Hattem";"      26"
"Totaal misdrijven";"2022 oktober";"Hattem";"      40"
"Totaal misdrijven";"2022 november";"Hattem";"      38"
"Totaal misdrijven";"2022 december";"Hattem";"      23"
"Totaal misdrijven";"2023 januari";"Hattem";"      31"
"Totaal misdrijven";"2023 februari";"Hattem";"      34"
"Totaal misdrijven";"2023 maart";"Hattem";"      26"
"Totaal misdrijven";"2023 april";"Hattem";"      26"
"Totaal misdrijven";"2023 mei";"Hattem";"      17"
"Totaal misdrijven";"2023 juni";"Hattem";"      23"
"Totaal misdrijven";"2023 juli";"Hattem";"      28"
"Totaal misdrijven";"2023 augustus";"Hattem";"      20"
"Totaal misdrijven";"2022 september";"Heemskerk";"     107"
"Totaal misdrijven";"2022 oktober";"Heemskerk";"     141"
"Totaal misdrijven";"2022 november";"Heemskerk";"     133"
"Totaal misdrijven";"2022 december";"Heemskerk";"     134"
"Totaal misdrijven";"2023 januari";"Heemskerk";"     141"
"Totaal misdrijven";"2023 februari";"Heemskerk";"     147"
"Totaal misdrijven";"2023 maart";"Heemskerk";"     105"
"Totaal misdrijven";"2023 april";"Heemskerk";"     144"
"Totaal misdrijven";"2023 mei";"Heemskerk";"     109"
"Totaal misdrijven";"2023 juni";"Heemskerk";"      85"
"Totaal misdrijven";"2023 juli";"Heemskerk";"      98"
"Totaal misdrijven";"2023 augustus";"Heemskerk";"      97"
"Totaal misdrijven";"2022 september";"Heemstede";"      74"
"Totaal misdrijven";"2022 oktober";"Heemstede";"     111"
"Totaal misdrijven";"2022 november";"Heemstede";"      79"
"Totaal misdrijven";"2022 december";"Heemstede";"      85"
"Totaal misdrijven";"2023 januari";"Heemstede";"      74"
"Totaal misdrijven";"2023 februari";"Heemstede";"      97"
"Totaal misdrijven";"2023 maart";"Heemstede";"     102"
"Totaal misdrijven";"2023 april";"Heemstede";"     116"
"Totaal misdrijven";"2023 mei";"Heemstede";"      93"
"Totaal misdrijven";"2023 juni";"Heemstede";"      84"
"Totaal misdrijven";"2023 juli";"Heemstede";"     104"
"Totaal misdrijven";"2023 augustus";"Heemstede";"      92"
"Totaal misdrijven";"2022 september";"Heerde";"      42"
"Totaal misdrijven";"2022 oktober";"Heerde";"      47"
"Totaal misdrijven";"2022 november";"Heerde";"      39"
"Totaal misdrijven";"2022 december";"Heerde";"      30"
"Totaal misdrijven";"2023 januari";"Heerde";"      40"
"Totaal misdrijven";"2023 februari";"Heerde";"      27"
"Totaal misdrijven";"2023 maart";"Heerde";"      41"
"Totaal misdrijven";"2023 april";"Heerde";"      30"
"Totaal misdrijven";"2023 mei";"Heerde";"      24"
"Totaal misdrijven";"2023 juni";"Heerde";"      33"
"Totaal misdrijven";"2023 juli";"Heerde";"      36"
"Totaal misdrijven";"2023 augustus";"Heerde";"      32"
"Totaal misdrijven";"2022 september";"Heerenveen";"     142"
"Totaal misdrijven";"2022 oktober";"Heerenveen";"     165"
"Totaal misdrijven";"2022 november";"Heerenveen";"     130"
"Totaal misdrijven";"2022 december";"Heerenveen";"     138"
"Totaal misdrijven";"2023 januari";"Heerenveen";"     167"
"Totaal misdrijven";"2023 februari";"Heerenveen";"     148"
"Totaal misdrijven";"2023 maart";"Heerenveen";"     159"
"Totaal misdrijven";"2023 april";"Heerenveen";"     124"
"Totaal misdrijven";"2023 mei";"Heerenveen";"     123"
"Totaal misdrijven";"2023 juni";"Heerenveen";"     171"
"Totaal misdrijven";"2023 juli";"Heerenveen";"     163"
"Totaal misdrijven";"2023 augustus";"Heerenveen";"     133"
"Totaal misdrijven";"2022 september";"Heerlen";"     489"
"Totaal misdrijven";"2022 oktober";"Heerlen";"     501"
"Totaal misdrijven";"2022 november";"Heerlen";"     542"
"Totaal misdrijven";"2022 december";"Heerlen";"     491"
"Totaal misdrijven";"2023 januari";"Heerlen";"     532"
"Totaal misdrijven";"2023 februari";"Heerlen";"     469"
"Totaal misdrijven";"2023 maart";"Heerlen";"     483"
"Totaal misdrijven";"2023 april";"Heerlen";"     453"
"Totaal misdrijven";"2023 mei";"Heerlen";"     553"
"Totaal misdrijven";"2023 juni";"Heerlen";"     479"
"Totaal misdrijven";"2023 juli";"Heerlen";"     548"
"Totaal misdrijven";"2023 augustus";"Heerlen";"     558"
"Totaal misdrijven";"2022 september";"Heeze-Leende";"      29"
"Totaal misdrijven";"2022 oktober";"Heeze-Leende";"      48"
"Totaal misdrijven";"2022 november";"Heeze-Leende";"      54"
"Totaal misdrijven";"2022 december";"Heeze-Leende";"      49"
"Totaal misdrijven";"2023 januari";"Heeze-Leende";"      45"
"Totaal misdrijven";"2023 februari";"Heeze-Leende";"      44"
"Totaal misdrijven";"2023 maart";"Heeze-Leende";"      56"
