"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"3.1.2 Mensensmokkel";"2023 juni";"Burgwallen-Nieuwe Zijde";"       0"
"3.1.2 Mensensmokkel";"2023 juli";"Burgwallen-Nieuwe Zijde";"       0"
"3.1.2 Mensensmokkel";"2023 augustus";"Burgwallen-Nieuwe Zijde";"       0"
"3.1.2 Mensensmokkel";"2022 september";"Burgwallen-Oude Zijde";"       0"
"3.1.2 Mensensmokkel";"2022 oktober";"Burgwallen-Oude Zijde";"       0"
"3.1.2 Mensensmokkel";"2022 november";"Burgwallen-Oude Zijde";"       0"
"3.1.2 Mensensmokkel";"2022 december";"Burgwallen-Oude Zijde";"       0"
"3.1.2 Mensensmokkel";"2023 januari";"Burgwallen-Oude Zijde";"       0"
"3.1.2 Mensensmokkel";"2023 februari";"Burgwallen-Oude Zijde";"       0"
"3.1.2 Mensensmokkel";"2023 maart";"Burgwallen-Oude Zijde";"       0"
"3.1.2 Mensensmokkel";"2023 april";"Burgwallen-Oude Zijde";"       0"
"3.1.2 Mensensmokkel";"2023 mei";"Burgwallen-Oude Zijde";"       0"
"3.1.2 Mensensmokkel";"2023 juni";"Burgwallen-Oude Zijde";"       0"
"3.1.2 Mensensmokkel";"2023 juli";"Burgwallen-Oude Zijde";"       0"
"3.1.2 Mensensmokkel";"2023 augustus";"Burgwallen-Oude Zijde";"       0"
"3.1.2 Mensensmokkel";"2022 september";"Burgwallen-Oost";"       0"
"3.1.2 Mensensmokkel";"2022 oktober";"Burgwallen-Oost";"       0"
"3.1.2 Mensensmokkel";"2022 november";"Burgwallen-Oost";"       0"
"3.1.2 Mensensmokkel";"2022 december";"Burgwallen-Oost";"       0"
"3.1.2 Mensensmokkel";"2023 januari";"Burgwallen-Oost";"       0"
"3.1.2 Mensensmokkel";"2023 februari";"Burgwallen-Oost";"       0"
"3.1.2 Mensensmokkel";"2023 maart";"Burgwallen-Oost";"       0"
"3.1.2 Mensensmokkel";"2023 april";"Burgwallen-Oost";"       0"
"3.1.2 Mensensmokkel";"2023 mei";"Burgwallen-Oost";"       0"
"3.1.2 Mensensmokkel";"2023 juni";"Burgwallen-Oost";"       0"
"3.1.2 Mensensmokkel";"2023 juli";"Burgwallen-Oost";"       0"
"3.1.2 Mensensmokkel";"2023 augustus";"Burgwallen-Oost";"       0"
"3.1.3 Wapenhandel";"2022 september";"Burgwallen-Nieuwe Zijde";"       4"
"3.1.3 Wapenhandel";"2022 oktober";"Burgwallen-Nieuwe Zijde";"       1"
"3.1.3 Wapenhandel";"2022 november";"Burgwallen-Nieuwe Zijde";"       5"
"3.1.3 Wapenhandel";"2022 december";"Burgwallen-Nieuwe Zijde";"       2"
"3.1.3 Wapenhandel";"2023 januari";"Burgwallen-Nieuwe Zijde";"       4"
"3.1.3 Wapenhandel";"2023 februari";"Burgwallen-Nieuwe Zijde";"       1"
"3.1.3 Wapenhandel";"2023 maart";"Burgwallen-Nieuwe Zijde";"       1"
"3.1.3 Wapenhandel";"2023 april";"Burgwallen-Nieuwe Zijde";"       3"
"3.1.3 Wapenhandel";"2023 mei";"Burgwallen-Nieuwe Zijde";"       3"
"3.1.3 Wapenhandel";"2023 juni";"Burgwallen-Nieuwe Zijde";"       3"
"3.1.3 Wapenhandel";"2023 juli";"Burgwallen-Nieuwe Zijde";"       3"
"3.1.3 Wapenhandel";"2023 augustus";"Burgwallen-Nieuwe Zijde";"       1"
"3.1.3 Wapenhandel";"2022 september";"Burgwallen-Oude Zijde";"       0"
"3.1.3 Wapenhandel";"2022 oktober";"Burgwallen-Oude Zijde";"       2"
"3.1.3 Wapenhandel";"2022 november";"Burgwallen-Oude Zijde";"       0"
"3.1.3 Wapenhandel";"2022 december";"Burgwallen-Oude Zijde";"       1"
"3.1.3 Wapenhandel";"2023 januari";"Burgwallen-Oude Zijde";"       0"
"3.1.3 Wapenhandel";"2023 februari";"Burgwallen-Oude Zijde";"       0"
"3.1.3 Wapenhandel";"2023 maart";"Burgwallen-Oude Zijde";"       0"
"3.1.3 Wapenhandel";"2023 april";"Burgwallen-Oude Zijde";"       2"
"3.1.3 Wapenhandel";"2023 mei";"Burgwallen-Oude Zijde";"       1"
"3.1.3 Wapenhandel";"2023 juni";"Burgwallen-Oude Zijde";"       0"
"3.1.3 Wapenhandel";"2023 juli";"Burgwallen-Oude Zijde";"       0"
"3.1.3 Wapenhandel";"2023 augustus";"Burgwallen-Oude Zijde";"       2"
"3.1.3 Wapenhandel";"2022 september";"Burgwallen-Oost";"       0"
"3.1.3 Wapenhandel";"2022 oktober";"Burgwallen-Oost";"       0"
"3.1.3 Wapenhandel";"2022 november";"Burgwallen-Oost";"       0"
"3.1.3 Wapenhandel";"2022 december";"Burgwallen-Oost";"       1"
"3.1.3 Wapenhandel";"2023 januari";"Burgwallen-Oost";"       0"
"3.1.3 Wapenhandel";"2023 februari";"Burgwallen-Oost";"       0"
"3.1.3 Wapenhandel";"2023 maart";"Burgwallen-Oost";"       0"
"3.1.3 Wapenhandel";"2023 april";"Burgwallen-Oost";"       2"
"3.1.3 Wapenhandel";"2023 mei";"Burgwallen-Oost";"       0"
"3.1.3 Wapenhandel";"2023 juni";"Burgwallen-Oost";"       0"
"3.1.3 Wapenhandel";"2023 juli";"Burgwallen-Oost";"       0"
"3.1.3 Wapenhandel";"2023 augustus";"Burgwallen-Oost";"       1"
"3.2.1 Kinderporno";"2022 september";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.1 Kinderporno";"2022 oktober";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.1 Kinderporno";"2022 november";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.1 Kinderporno";"2022 december";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.1 Kinderporno";"2023 januari";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.1 Kinderporno";"2023 februari";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.1 Kinderporno";"2023 maart";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.1 Kinderporno";"2023 april";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.1 Kinderporno";"2023 mei";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.1 Kinderporno";"2023 juni";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.1 Kinderporno";"2023 juli";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.1 Kinderporno";"2023 augustus";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.1 Kinderporno";"2022 september";"Burgwallen-Oude Zijde";"       ."
"3.2.1 Kinderporno";"2022 oktober";"Burgwallen-Oude Zijde";"       ."
"3.2.1 Kinderporno";"2022 november";"Burgwallen-Oude Zijde";"       ."
"3.2.1 Kinderporno";"2022 december";"Burgwallen-Oude Zijde";"       ."
"3.2.1 Kinderporno";"2023 januari";"Burgwallen-Oude Zijde";"       ."
"3.2.1 Kinderporno";"2023 februari";"Burgwallen-Oude Zijde";"       ."
"3.2.1 Kinderporno";"2023 maart";"Burgwallen-Oude Zijde";"       ."
"3.2.1 Kinderporno";"2023 april";"Burgwallen-Oude Zijde";"       ."
"3.2.1 Kinderporno";"2023 mei";"Burgwallen-Oude Zijde";"       ."
"3.2.1 Kinderporno";"2023 juni";"Burgwallen-Oude Zijde";"       ."
"3.2.1 Kinderporno";"2023 juli";"Burgwallen-Oude Zijde";"       ."
"3.2.1 Kinderporno";"2023 augustus";"Burgwallen-Oude Zijde";"       ."
"3.2.1 Kinderporno";"2022 september";"Burgwallen-Oost";"       ."
"3.2.1 Kinderporno";"2022 oktober";"Burgwallen-Oost";"       ."
"3.2.1 Kinderporno";"2022 november";"Burgwallen-Oost";"       ."
"3.2.1 Kinderporno";"2022 december";"Burgwallen-Oost";"       ."
"3.2.1 Kinderporno";"2023 januari";"Burgwallen-Oost";"       ."
"3.2.1 Kinderporno";"2023 februari";"Burgwallen-Oost";"       ."
"3.2.1 Kinderporno";"2023 maart";"Burgwallen-Oost";"       ."
"3.2.1 Kinderporno";"2023 april";"Burgwallen-Oost";"       ."
"3.2.1 Kinderporno";"2023 mei";"Burgwallen-Oost";"       ."
"3.2.1 Kinderporno";"2023 juni";"Burgwallen-Oost";"       ."
"3.2.1 Kinderporno";"2023 juli";"Burgwallen-Oost";"       ."
"3.2.1 Kinderporno";"2023 augustus";"Burgwallen-Oost";"       ."
"3.2.2 Kinderprostitutie";"2022 september";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.2 Kinderprostitutie";"2022 oktober";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.2 Kinderprostitutie";"2022 november";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.2 Kinderprostitutie";"2022 december";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 januari";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 februari";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 maart";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 april";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 mei";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 juni";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 juli";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 augustus";"Burgwallen-Nieuwe Zijde";"       ."
"3.2.2 Kinderprostitutie";"2022 september";"Burgwallen-Oude Zijde";"       ."
"3.2.2 Kinderprostitutie";"2022 oktober";"Burgwallen-Oude Zijde";"       ."
"3.2.2 Kinderprostitutie";"2022 november";"Burgwallen-Oude Zijde";"       ."
"3.2.2 Kinderprostitutie";"2022 december";"Burgwallen-Oude Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 januari";"Burgwallen-Oude Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 februari";"Burgwallen-Oude Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 maart";"Burgwallen-Oude Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 april";"Burgwallen-Oude Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 mei";"Burgwallen-Oude Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 juni";"Burgwallen-Oude Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 juli";"Burgwallen-Oude Zijde";"       ."
"3.2.2 Kinderprostitutie";"2023 augustus";"Burgwallen-Oude Zijde";"       ."
"3.2.2 Kinderprostitutie";"2022 september";"Burgwallen-Oost";"       ."
"3.2.2 Kinderprostitutie";"2022 oktober";"Burgwallen-Oost";"       ."
"3.2.2 Kinderprostitutie";"2022 november";"Burgwallen-Oost";"       ."
"3.2.2 Kinderprostitutie";"2022 december";"Burgwallen-Oost";"       ."
"3.2.2 Kinderprostitutie";"2023 januari";"Burgwallen-Oost";"       ."
"3.2.2 Kinderprostitutie";"2023 februari";"Burgwallen-Oost";"       ."
"3.2.2 Kinderprostitutie";"2023 maart";"Burgwallen-Oost";"       ."
"3.2.2 Kinderprostitutie";"2023 april";"Burgwallen-Oost";"       ."
"3.2.2 Kinderprostitutie";"2023 mei";"Burgwallen-Oost";"       ."
"3.2.2 Kinderprostitutie";"2023 juni";"Burgwallen-Oost";"       ."
"3.2.2 Kinderprostitutie";"2023 juli";"Burgwallen-Oost";"       ."
"3.2.2 Kinderprostitutie";"2023 augustus";"Burgwallen-Oost";"       ."
"3.3.2 Onder invloed (lucht)";"2022 september";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2022 oktober";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2022 november";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2022 december";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 januari";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 februari";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 maart";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 april";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 mei";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 juni";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 juli";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 augustus";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2022 september";"Burgwallen-Oude Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2022 oktober";"Burgwallen-Oude Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2022 november";"Burgwallen-Oude Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2022 december";"Burgwallen-Oude Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 januari";"Burgwallen-Oude Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 februari";"Burgwallen-Oude Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 maart";"Burgwallen-Oude Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 april";"Burgwallen-Oude Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 mei";"Burgwallen-Oude Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 juni";"Burgwallen-Oude Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 juli";"Burgwallen-Oude Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2023 augustus";"Burgwallen-Oude Zijde";"       0"
"3.3.2 Onder invloed (lucht)";"2022 september";"Burgwallen-Oost";"       0"
"3.3.2 Onder invloed (lucht)";"2022 oktober";"Burgwallen-Oost";"       0"
"3.3.2 Onder invloed (lucht)";"2022 november";"Burgwallen-Oost";"       0"
"3.3.2 Onder invloed (lucht)";"2022 december";"Burgwallen-Oost";"       0"
"3.3.2 Onder invloed (lucht)";"2023 januari";"Burgwallen-Oost";"       0"
"3.3.2 Onder invloed (lucht)";"2023 februari";"Burgwallen-Oost";"       0"
"3.3.2 Onder invloed (lucht)";"2023 maart";"Burgwallen-Oost";"       0"
"3.3.2 Onder invloed (lucht)";"2023 april";"Burgwallen-Oost";"       0"
"3.3.2 Onder invloed (lucht)";"2023 mei";"Burgwallen-Oost";"       0"
"3.3.2 Onder invloed (lucht)";"2023 juni";"Burgwallen-Oost";"       0"
"3.3.2 Onder invloed (lucht)";"2023 juli";"Burgwallen-Oost";"       0"
"3.3.2 Onder invloed (lucht)";"2023 augustus";"Burgwallen-Oost";"       0"
"3.3.5 Lucht (overig)";"2022 september";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.5 Lucht (overig)";"2022 oktober";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.5 Lucht (overig)";"2022 november";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.5 Lucht (overig)";"2022 december";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 januari";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 februari";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 maart";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 april";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 mei";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 juni";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 juli";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 augustus";"Burgwallen-Nieuwe Zijde";"       0"
"3.3.5 Lucht (overig)";"2022 september";"Burgwallen-Oude Zijde";"       0"
"3.3.5 Lucht (overig)";"2022 oktober";"Burgwallen-Oude Zijde";"       0"
"3.3.5 Lucht (overig)";"2022 november";"Burgwallen-Oude Zijde";"       0"
"3.3.5 Lucht (overig)";"2022 december";"Burgwallen-Oude Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 januari";"Burgwallen-Oude Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 februari";"Burgwallen-Oude Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 maart";"Burgwallen-Oude Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 april";"Burgwallen-Oude Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 mei";"Burgwallen-Oude Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 juni";"Burgwallen-Oude Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 juli";"Burgwallen-Oude Zijde";"       0"
"3.3.5 Lucht (overig)";"2023 augustus";"Burgwallen-Oude Zijde";"       0"
"3.3.5 Lucht (overig)";"2022 september";"Burgwallen-Oost";"       0"
"3.3.5 Lucht (overig)";"2022 oktober";"Burgwallen-Oost";"       0"
"3.3.5 Lucht (overig)";"2022 november";"Burgwallen-Oost";"       0"
"3.3.5 Lucht (overig)";"2022 december";"Burgwallen-Oost";"       0"
"3.3.5 Lucht (overig)";"2023 januari";"Burgwallen-Oost";"       0"
"3.3.5 Lucht (overig)";"2023 februari";"Burgwallen-Oost";"       0"
"3.3.5 Lucht (overig)";"2023 maart";"Burgwallen-Oost";"       0"
"3.3.5 Lucht (overig)";"2023 april";"Burgwallen-Oost";"       0"
"3.3.5 Lucht (overig)";"2023 mei";"Burgwallen-Oost";"       0"
"3.3.5 Lucht (overig)";"2023 juni";"Burgwallen-Oost";"       0"
"3.3.5 Lucht (overig)";"2023 juli";"Burgwallen-Oost";"       0"
"3.3.5 Lucht (overig)";"2023 augustus";"Burgwallen-Oost";"       0"
"3.4.2 Onder invloed (water)";"2022 september";"Burgwallen-Nieuwe Zijde";"       0"
"3.4.2 Onder invloed (water)";"2022 oktober";"Burgwallen-Nieuwe Zijde";"       0"
"3.4.2 Onder invloed (water)";"2022 november";"Burgwallen-Nieuwe Zijde";"       0"
"3.4.2 Onder invloed (water)";"2022 december";"Burgwallen-Nieuwe Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 januari";"Burgwallen-Nieuwe Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 februari";"Burgwallen-Nieuwe Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 maart";"Burgwallen-Nieuwe Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 april";"Burgwallen-Nieuwe Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 mei";"Burgwallen-Nieuwe Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 juni";"Burgwallen-Nieuwe Zijde";"       1"
"3.4.2 Onder invloed (water)";"2023 juli";"Burgwallen-Nieuwe Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 augustus";"Burgwallen-Nieuwe Zijde";"       0"
"3.4.2 Onder invloed (water)";"2022 september";"Burgwallen-Oude Zijde";"       0"
"3.4.2 Onder invloed (water)";"2022 oktober";"Burgwallen-Oude Zijde";"       0"
"3.4.2 Onder invloed (water)";"2022 november";"Burgwallen-Oude Zijde";"       0"
"3.4.2 Onder invloed (water)";"2022 december";"Burgwallen-Oude Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 januari";"Burgwallen-Oude Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 februari";"Burgwallen-Oude Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 maart";"Burgwallen-Oude Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 april";"Burgwallen-Oude Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 mei";"Burgwallen-Oude Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 juni";"Burgwallen-Oude Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 juli";"Burgwallen-Oude Zijde";"       0"
"3.4.2 Onder invloed (water)";"2023 augustus";"Burgwallen-Oude Zijde";"       0"
"3.4.2 Onder invloed (water)";"2022 september";"Burgwallen-Oost";"       0"
"3.4.2 Onder invloed (water)";"2022 oktober";"Burgwallen-Oost";"       0"
"3.4.2 Onder invloed (water)";"2022 november";"Burgwallen-Oost";"       0"
"3.4.2 Onder invloed (water)";"2022 december";"Burgwallen-Oost";"       0"
"3.4.2 Onder invloed (water)";"2023 januari";"Burgwallen-Oost";"       0"
"3.4.2 Onder invloed (water)";"2023 februari";"Burgwallen-Oost";"       0"
"3.4.2 Onder invloed (water)";"2023 maart";"Burgwallen-Oost";"       0"
"3.4.2 Onder invloed (water)";"2023 april";"Burgwallen-Oost";"       0"
"3.4.2 Onder invloed (water)";"2023 mei";"Burgwallen-Oost";"       0"
"3.4.2 Onder invloed (water)";"2023 juni";"Burgwallen-Oost";"       0"
"3.4.2 Onder invloed (water)";"2023 juli";"Burgwallen-Oost";"       0"
"3.4.2 Onder invloed (water)";"2023 augustus";"Burgwallen-Oost";"       0"
"3.5.2 Onder invloed (weg)";"2022 september";"Burgwallen-Nieuwe Zijde";"       8"
"3.5.2 Onder invloed (weg)";"2022 oktober";"Burgwallen-Nieuwe Zijde";"       4"
"3.5.2 Onder invloed (weg)";"2022 november";"Burgwallen-Nieuwe Zijde";"       2"
"3.5.2 Onder invloed (weg)";"2022 december";"Burgwallen-Nieuwe Zijde";"       7"
"3.5.2 Onder invloed (weg)";"2023 januari";"Burgwallen-Nieuwe Zijde";"       3"
"3.5.2 Onder invloed (weg)";"2023 februari";"Burgwallen-Nieuwe Zijde";"       4"
"3.5.2 Onder invloed (weg)";"2023 maart";"Burgwallen-Nieuwe Zijde";"       2"
"3.5.2 Onder invloed (weg)";"2023 april";"Burgwallen-Nieuwe Zijde";"       3"
"3.5.2 Onder invloed (weg)";"2023 mei";"Burgwallen-Nieuwe Zijde";"       8"
"3.5.2 Onder invloed (weg)";"2023 juni";"Burgwallen-Nieuwe Zijde";"       7"
"3.5.2 Onder invloed (weg)";"2023 juli";"Burgwallen-Nieuwe Zijde";"       2"
"3.5.2 Onder invloed (weg)";"2023 augustus";"Burgwallen-Nieuwe Zijde";"       5"
"3.5.2 Onder invloed (weg)";"2022 september";"Burgwallen-Oude Zijde";"       6"
"3.5.2 Onder invloed (weg)";"2022 oktober";"Burgwallen-Oude Zijde";"       5"
"3.5.2 Onder invloed (weg)";"2022 november";"Burgwallen-Oude Zijde";"       3"
"3.5.2 Onder invloed (weg)";"2022 december";"Burgwallen-Oude Zijde";"       1"
"3.5.2 Onder invloed (weg)";"2023 januari";"Burgwallen-Oude Zijde";"       1"
"3.5.2 Onder invloed (weg)";"2023 februari";"Burgwallen-Oude Zijde";"       2"
"3.5.2 Onder invloed (weg)";"2023 maart";"Burgwallen-Oude Zijde";"       1"
"3.5.2 Onder invloed (weg)";"2023 april";"Burgwallen-Oude Zijde";"       2"
"3.5.2 Onder invloed (weg)";"2023 mei";"Burgwallen-Oude Zijde";"       3"
"3.5.2 Onder invloed (weg)";"2023 juni";"Burgwallen-Oude Zijde";"       0"
"3.5.2 Onder invloed (weg)";"2023 juli";"Burgwallen-Oude Zijde";"       0"
"3.5.2 Onder invloed (weg)";"2023 augustus";"Burgwallen-Oude Zijde";"       2"
"3.5.2 Onder invloed (weg)";"2022 september";"Burgwallen-Oost";"       0"
"3.5.2 Onder invloed (weg)";"2022 oktober";"Burgwallen-Oost";"       0"
"3.5.2 Onder invloed (weg)";"2022 november";"Burgwallen-Oost";"       0"
"3.5.2 Onder invloed (weg)";"2022 december";"Burgwallen-Oost";"       0"
"3.5.2 Onder invloed (weg)";"2023 januari";"Burgwallen-Oost";"       1"
"3.5.2 Onder invloed (weg)";"2023 februari";"Burgwallen-Oost";"       0"
"3.5.2 Onder invloed (weg)";"2023 maart";"Burgwallen-Oost";"       0"
"3.5.2 Onder invloed (weg)";"2023 april";"Burgwallen-Oost";"       0"
"3.5.2 Onder invloed (weg)";"2023 mei";"Burgwallen-Oost";"       2"
"3.5.2 Onder invloed (weg)";"2023 juni";"Burgwallen-Oost";"       0"
"3.5.2 Onder invloed (weg)";"2023 juli";"Burgwallen-Oost";"       0"
"3.5.2 Onder invloed (weg)";"2023 augustus";"Burgwallen-Oost";"       1"
"3.5.5 Weg (overig)";"2022 september";"Burgwallen-Nieuwe Zijde";"       1"
"3.5.5 Weg (overig)";"2022 oktober";"Burgwallen-Nieuwe Zijde";"       2"
"3.5.5 Weg (overig)";"2022 november";"Burgwallen-Nieuwe Zijde";"       0"
"3.5.5 Weg (overig)";"2022 december";"Burgwallen-Nieuwe Zijde";"       0"
"3.5.5 Weg (overig)";"2023 januari";"Burgwallen-Nieuwe Zijde";"       1"
"3.5.5 Weg (overig)";"2023 februari";"Burgwallen-Nieuwe Zijde";"       3"
"3.5.5 Weg (overig)";"2023 maart";"Burgwallen-Nieuwe Zijde";"       1"
"3.5.5 Weg (overig)";"2023 april";"Burgwallen-Nieuwe Zijde";"       0"
"3.5.5 Weg (overig)";"2023 mei";"Burgwallen-Nieuwe Zijde";"       1"
"3.5.5 Weg (overig)";"2023 juni";"Burgwallen-Nieuwe Zijde";"       1"
"3.5.5 Weg (overig)";"2023 juli";"Burgwallen-Nieuwe Zijde";"       3"
"3.5.5 Weg (overig)";"2023 augustus";"Burgwallen-Nieuwe Zijde";"       1"
"3.5.5 Weg (overig)";"2022 september";"Burgwallen-Oude Zijde";"       4"
"3.5.5 Weg (overig)";"2022 oktober";"Burgwallen-Oude Zijde";"       1"
"3.5.5 Weg (overig)";"2022 november";"Burgwallen-Oude Zijde";"       0"
"3.5.5 Weg (overig)";"2022 december";"Burgwallen-Oude Zijde";"       0"
"3.5.5 Weg (overig)";"2023 januari";"Burgwallen-Oude Zijde";"       1"
"3.5.5 Weg (overig)";"2023 februari";"Burgwallen-Oude Zijde";"       3"
"3.5.5 Weg (overig)";"2023 maart";"Burgwallen-Oude Zijde";"       1"
"3.5.5 Weg (overig)";"2023 april";"Burgwallen-Oude Zijde";"       0"
"3.5.5 Weg (overig)";"2023 mei";"Burgwallen-Oude Zijde";"       0"
"3.5.5 Weg (overig)";"2023 juni";"Burgwallen-Oude Zijde";"       0"
"3.5.5 Weg (overig)";"2023 juli";"Burgwallen-Oude Zijde";"       0"
"3.5.5 Weg (overig)";"2023 augustus";"Burgwallen-Oude Zijde";"       1"
"3.5.5 Weg (overig)";"2022 september";"Burgwallen-Oost";"       0"
"3.5.5 Weg (overig)";"2022 oktober";"Burgwallen-Oost";"       0"
"3.5.5 Weg (overig)";"2022 november";"Burgwallen-Oost";"       0"
"3.5.5 Weg (overig)";"2022 december";"Burgwallen-Oost";"       0"
"3.5.5 Weg (overig)";"2023 januari";"Burgwallen-Oost";"       0"
"3.5.5 Weg (overig)";"2023 februari";"Burgwallen-Oost";"       0"
"3.5.5 Weg (overig)";"2023 maart";"Burgwallen-Oost";"       0"
"3.5.5 Weg (overig)";"2023 april";"Burgwallen-Oost";"       0"
"3.5.5 Weg (overig)";"2023 mei";"Burgwallen-Oost";"       0"
"3.5.5 Weg (overig)";"2023 juni";"Burgwallen-Oost";"       0"
"3.5.5 Weg (overig)";"2023 juli";"Burgwallen-Oost";"       0"
"3.5.5 Weg (overig)";"2023 augustus";"Burgwallen-Oost";"       0"
"3.6.4 Aantasting openbare orde";"2022 september";"Burgwallen-Nieuwe Zijde";"      12"
"3.6.4 Aantasting openbare orde";"2022 oktober";"Burgwallen-Nieuwe Zijde";"       8"
"3.6.4 Aantasting openbare orde";"2022 november";"Burgwallen-Nieuwe Zijde";"      23"
